iter	Passed	Remaining
0	1	134
1	2	120
2	3	116
3	4	113
4	5	111
5	6	109
6	8	106
7	9	105
8	10	103
9	11	101
10	12	100
11	13	100
12	14	98
13	15	97
14	16	95
15	18	94
16	19	93
17	20	91
18	21	90
19	22	89
20	23	87
21	24	86
22	25	85
23	26	84
24	27	83
25	29	82
26	30	81
27	31	80
28	32	79
29	33	77
30	34	76
31	35	75
32	36	73
33	37	72
34	38	71
35	39	70
36	40	69
37	41	68
38	43	67
39	44	66
40	45	65
41	45	63
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	55
49	54	54
50	55	52
51	55	51
52	56	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	77	31
71	78	30
72	79	29
73	80	28
74	80	26
75	81	25
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	99	8
92	100	7
93	100	6
94	101	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
